Organization,entity_and_date,,,grant_amount
abrasiveMedia,Metro Arts & ABC 1988-89,Metro,1988-89,0
ACT I Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Acting Studio,Metro Arts & ABC 1988-89,Metro,1988-89,"4,000"
Actor's Bridge Ensemble Theatre of Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Actor's Playhouse,Metro Arts & ABC 1988-89,Metro,1988-89,0
Adventure Science Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Africa is…,Metro Arts & ABC 1988-89,Metro,1988-89,0
African American Cultural Alliance,Metro Arts & ABC 1988-89,Metro,1988-89,0
Afrofuturism Dance,Metro Arts & ABC 1988-89,Metro,1988-89,0
ALIAS Chamber Ensemble,Metro Arts & ABC 1988-89,Metro,1988-89,0
American Artisan Festival,Metro Arts & ABC 1988-89,Metro,1988-89,0
American Negro Playwright Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
American Roots Music Education,Metro Arts & ABC 1988-89,Metro,1988-89,0
Andrew Jackson's Hermitage,Metro Arts & ABC 1988-89,Metro,1988-89,0
Art and Nature Adventures,Metro Arts & ABC 1988-89,Metro,1988-89,0
Arte de Libertad/Freedom Arts,Metro Arts & ABC 1988-89,Metro,1988-89,0
Arts and Business Council of Greater Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Arts in the Airport,Metro Arts & ABC 1988-89,Metro,1988-89,0
ArtSynergy,Metro Arts & ABC 1988-89,Metro,1988-89,0
Asian American Performing Arts Society (DBA Dance Theatre of Tennessee),Metro Arts & ABC 1988-89,Metro,1988-89,0
Athena Fund,Metro Arts & ABC 1988-89,Metro,1988-89,0
AthensSouth Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Beautiful Brown Faces,Metro Arts & ABC 1988-89,Metro,1988-89,0
Belcourt Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Belle Meade Plantation,Metro Arts & ABC 1988-89,Metro,1988-89,0
"Bellevue Edible Learning Lab, Inc.",Metro Arts & ABC 1988-89,Metro,1988-89,0
Bellevue Exchange Club,Metro Arts & ABC 1988-89,Metro,1988-89,0
Bethlehlem Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Blackbird,Metro Arts & ABC 1988-89,Metro,1988-89,0
Blackbird Theatre,Metro Arts & ABC 1988-89,Metro,1988-89,0
Blair School of Music,Metro Arts & ABC 1988-89,Metro,1988-89,0
Boys & Girls Club of Middle Tennessee (fiscal sponsor for Notes for Notes),Metro Arts & ABC 1988-89,Metro,1988-89,0
Bridging Two Rivers,Metro Arts & ABC 1988-89,Metro,1988-89,0
BroadAxe Theatre Inc.,Metro Arts & ABC 1988-89,Metro,1988-89,0
C.A.L.L. Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
C.O.L.O.R. Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
CAAC Dance,Metro Arts & ABC 1988-89,Metro,1988-89,0
Center for Refugees & Immigrants in Tennessee,Metro Arts & ABC 1988-89,Metro,1988-89,0
Centerstone,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cheekwood,Metro Arts & ABC 1988-89,Metro,1988-89,"11,000"
Children's Arts & Ideas,Metro Arts & ABC 1988-89,Metro,1988-89,"3,750"
Chinese Arts Alliance of Nashville,Metro Arts & ABC 1988-89,Metro,1988-89,0
Choral Arts Link,Metro Arts & ABC 1988-89,Metro,1988-89,0
Circle Players,Metro Arts & ABC 1988-89,Metro,1988-89,"5,000"
Civil Rap Movement,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cleveland Park Community Mural,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cleveland Park Neighborhood Story Project,Metro Arts & ABC 1988-89,Metro,1988-89,0
Community Concerts Inc.,Metro Arts & ABC 1988-89,Metro,1988-89,0
Community Resource Center,Metro Arts & ABC 1988-89,Metro,1988-89,0
Concert Chorale,Metro Arts & ABC 1988-89,Metro,1988-89,0
Conexion Americas,Metro Arts & ABC 1988-89,Metro,1988-89,0
Country Music Foundation (DBA Country Music Hall of Fame and Museum),Metro Arts & ABC 1988-89,Metro,1988-89,"20,000"
Creative Artists of Tennessee (CATS),Metro Arts & ABC 1988-89,Metro,1988-89,0
Cultural Arts Enrichment Program,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cumberland Garden Communitiy Mural,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cumberland View Community Mural,Metro Arts & ABC 1988-89,Metro,1988-89,0
Cumberland Science Museum,Metro Arts & ABC 1988-89,Metro,1988-89,"10,325"
Curating a Public Self,Metro Arts & ABC 1988-89,Metro,1988-89,0
